Region,StateName
Region 1,Connecticut
Region 1,Maine
Region 1,Massachusetts
Region 1,New Hampshire
Region 1,Rhode Island
Region 1,Vermont
Region 2,New Jersey
Region 2,New York
Region 2,Puerto Rico
Region 2,U.S. Virgin Islands
Region 3,Delaware
Region 3,District of Columbia
Region 3,Maryland
Region 3,Pennsylvania
Region 3,Virginia
Region 3,West Virginia
Region 4,Alabama
Region 4,Florida
Region 4,Georgia
Region 4,Kentucky
Region 4,Mississippi
Region 4,North Carolina
Region 4,South Carolina
Region 4,Tennessee
Region 5,Illinois
Region 5,Indiana
Region 5,Michigan
Region 5,Minnesota
Region 5,Ohio
Region 5,Wisconsin
Region 6,Arkansas
Region 6,Louisiana
Region 6,New Mexico
Region 6,Oklahoma
Region 6,Texas
Region 7,Iowa
Region 7,Kansas
Region 7,Missouri
Region 7,Nebraska
Region 8,Colorado
Region 8,Montana
Region 8,North Dakota
Region 8,South Dakota
Region 8,Utah
Region 8,Wyoming
Region 9,Arizona
Region 9,California
Region 9,Hawaii
Region 9,Nevada
Region 10,Alaska
Region 10,Idaho
Region 10,Oregon
Region 10,Washington